phase,split,kind,relative_path,size_bytes,sha256
after,train,images,dataset_clean/train/images/100_png.rf.44205ffcbce3a23db90158d9e10637dd.jpg,356292,890c4849c131935966f6067d4e73ba427fb6baa876800fd9189984e0650ace68
after,train,images,dataset_clean/train/images/100_png.rf.ae3e3cb957d9f9af0da92000b4923617.jpg,357025,ab1c9f1f40241060233681af805e4ffeeb9c2e2573953e1970fa8c9b77ff1312
after,train,images,dataset_clean/train/images/100_png.rf.d2b173f66f996a04e9722da879c91aa2.jpg,356260,ceba0c4a444562eaa897ee0d19a373b9aff37438718d51556c52a0a2b583e50f
after,train,images,dataset_clean/train/images/101_png.rf.0a98b15e94e04b78cbe1336cab819ca9.jpg,259321,e827a66ce48e530fa9dd462ab05913d055ddcfa1bade6722913f8e7c2bc490db
after,train,images,dataset_clean/train/images/101_png.rf.c9494abd59f6581ee544d3437f740134.jpg,260701,1978d81aca0fb6f736ac6befc0b7aac62b11dd6c9fb67765a2e4af02373c6142
after,train,images,dataset_clean/train/images/101_png.rf.f34163f5e9157739d94a958ac6aeb0d8.jpg,259905,f7eca095955450c02b89d2ceffcbdb7c92b233684bbf32b62a948e9fd828bdef
after,train,images,dataset_clean/train/images/102_png.rf.2f06581cbd52f22fadc5113158c7d0da.jpg,309821,d0f940568b377cc371d6c4ae35752813fee42e3beb80ef90e8f23378b4de9a57
after,train,images,dataset_clean/train/images/102_png.rf.715503b50d19408be9d8513ad38327f9.jpg,309034,1a329a0b7c40001cd7a66c38beeae0607c93f49ffb63d88365f5071785821087
after,train,images,dataset_clean/train/images/102_png.rf.dc1315cb0db8542e93a8ab6f16e7f603.jpg,308724,513a54871cf7acdab41bab39f30c104d559bb7d9a108ae62db5c600a1a6730e8
after,train,images,dataset_clean/train/images/103_png.rf.0bf110810427204c70c71d887d2393e5.jpg,308449,aa4a78bdd2607c0db8fdc809ca481a4c2ba33afdce356ace3f4a8e2ac292cda3
after,train,images,dataset_clean/train/images/103_png.rf.4ee03846421f05e145684c3379e657f7.jpg,308430,464225b3655819fc5204f1eba7fc61b04c0930e6918e23d1f650111621a809f1
after,train,images,dataset_clean/train/images/106_png.rf.064fefba355be26be054010263ff3d07.jpg,306442,c2f858a52fc79b4576b89df8fb10929482ed7d27f3c438eb44cf75668fcf045c
after,train,images,dataset_clean/train/images/106_png.rf.54cb386242cb995b1c81b56d29e7e38f.jpg,305593,607963f40541d25a4a2059f1e5cd1883bfa4566081efb47e3641c6d48ef2e155
after,train,images,dataset_clean/train/images/106_png.rf.601ddb4cc416d8acb244cd5b618e73e8.jpg,307174,eff71ecfb8190ef6c685b398dd5c3fd29c3c5247476ea3fff6dd68c00d304734
after,train,images,dataset_clean/train/images/107_png.rf.1dfad04627cb742cc02dbd9967796b22.jpg,386614,d58269fcf131c486287f4959f687ca6a252e9ec35f9b860989debdc0ecf5c15e
after,train,images,dataset_clean/train/images/107_png.rf.28cd099155dfbe3dcc80922cb3b1f9eb.jpg,387355,f9ca95a9c2a6929cb85e1b5230399b285e19bf225d1757ea9bfb66d9cfabc126
after,train,images,dataset_clean/train/images/107_png.rf.733cd882fa039839f90209b7fa800f94.jpg,387317,92715147c75d99f58cc16941e59b12c3cef5cf83d2493bb5d1301cd0b1ff9aab
after,train,images,dataset_clean/train/images/108_png.rf.18dabe4f3d8c2c88f30d1ec8607b3b0a.jpg,360453,5015d73938732977dbbd5d1db4c4d9abae4949942acf7e3b3124c85ff9759d2d
after,train,images,dataset_clean/train/images/108_png.rf.a6633a716d10aa7b53c374e4ea1562e4.jpg,360687,9dd3603fc18af3402f91aefeaa880725fffd9385f024811cc8d4f47d628df9ef
after,train,images,dataset_clean/train/images/108_png.rf.ceaf41761f9fc0df4d5f5cac4ebcf161.jpg,360903,339fe1209863e3c0d4c827634597cf283483e177cc6dd980769da808a6b63a32
after,train,images,dataset_clean/train/images/109_png.rf.797b005c4b9680d0eaa926f15e5ca347.jpg,379239,79ec8e914f1ace2b8a01227865f1ca98e06cf871cb96dbdf3ba3a19aeb53281d
after,train,images,dataset_clean/train/images/109_png.rf.86456aca4577f28a58ef012cd0b19bca.jpg,378682,73046bc9a0360a7902742bd6c71da217944ef5a222e686a16ab0b4a018bad6b0
after,train,images,dataset_clean/train/images/109_png.rf.941274b1250b96d78349d214e3607dff.jpg,378319,ee83ea8b653bff4a7e8cff9998a1df40536e42725d0e6b36616f199d5f61c247
after,train,images,dataset_clean/train/images/10_jpg.rf.2a8a787a4fde422108bfb89599eedf78.jpg,17083,48af25d71bfd9e69b20e570d3a8f7df5b474c2a02de51bf23113f25c39406954
after,train,images,dataset_clean/train/images/10_jpg.rf.418f9a38a7ed5da52c7f2a424ebeafce.jpg,16458,857d0893308a647988ef96097cef313528c063eaf489deb4ebe52e252dcd94b0
after,train,images,dataset_clean/train/images/10_jpg.rf.5b10fd9f082969b3543cb4fb6cbec1ac.jpg,18177,a51f23cc44271a9d0f4523b105082f9e00d1e72d73ae165556e92181e177cac8
after,train,images,dataset_clean/train/images/10_jpg.rf.90140f9edbc50433ae35048cb293b18d.jpg,16280,ed5df125abd1a87bf3a9350f028865bc7ad75b5c7b219ea58329ed01e1c71f2c
after,train,images,dataset_clean/train/images/10_jpg.rf.9082ca1f5897d6550a993f85b6b81571.jpg,16794,56cc7f3d9205e41bd5dd60412e7b82ca18dfaadb3acdf58c8f1623d68899126f
after,train,images,dataset_clean/train/images/10_jpg.rf.f88dbd823cc24195d3b0d5e4c32c32f6.jpg,16623,55a0065a4e4e5c1f5c3acce6bd5fba5cb24f704dde75f2b6df0cc5c3c7ff1fb0
after,train,images,dataset_clean/train/images/110_png.rf.0fa6ea25e4d179c8cdc10115cf90d80d.jpg,405893,73eeb5f5a66bece7ccfb4b03b11664240b0945fd0f6c766d89a0efde0a342cb4
after,train,images,dataset_clean/train/images/110_png.rf.bcaaf316e0290f6ee66151ad4c18bec0.jpg,405171,4fc7b47377d65804361046160312eb998051371e50fa773bf9fdcb1b028b2a99
after,train,images,dataset_clean/train/images/110_png.rf.e191757be1f27a31d7358e7a0c6bd2cb.jpg,404786,ad8b9330c8325d0e6219a4c460467ea6fdaf2d1fd9f718b0d583e6bc7fbb9865
after,train,images,dataset_clean/train/images/111_png.rf.8300a321d6392852e399aaca38816b76.jpg,233245,3d39ee69b6739c450eb1ac1bb828618d24c90e27881e1d2d08909afb8b55eb4d
after,train,images,dataset_clean/train/images/111_png.rf.cc7ab32e804a5031d4dd5cb6815d2d00.jpg,233245,3d39ee69b6739c450eb1ac1bb828618d24c90e27881e1d2d08909afb8b55eb4d
after,train,images,dataset_clean/train/images/111_png.rf.ce66bf8c2ff53574ca326df3f5503a4b.jpg,233119,3e14cf004bb1491a8b96e3e8f1238d558a0c5257ea3d4b3038b7c174287b531d
after,train,images,dataset_clean/train/images/112_png.rf.30121f1b784ac8f9773c42689d9f5138.jpg,228200,181537c60e50ec4cdf3ce46bfeb42b0a7db5ea154cc5ba3ab22a6f6da3f9d01d
after,train,images,dataset_clean/train/images/112_png.rf.acc116372d9b07a8b74806a54832131c.jpg,226673,3974accfa294ec1fb69f6793fc17a0fd0079387c1bb4ac300b30bd5e5b29bdc3
after,train,images,dataset_clean/train/images/112_png.rf.bdc26efbff34f838c02d3f22c3baa9bd.jpg,228252,8be0e70b5c80c49bf24919756b4bcd57221eaa22ea97ad12c28b98be1902df2f
after,train,images,dataset_clean/train/images/113_png.rf.65e538451949fae23e75f15ecc37bc9a.jpg,218141,4be05658ec1192ebaf56b14901138aa8c42dad2296c49921b2b35669d37bbc84
after,train,images,dataset_clean/train/images/113_png.rf.8341595e2af6d93e41667ff21c612c6f.jpg,218044,04727500a9f9ff7c206f1473a4c7222e385bf927b08b802aca15bf831543848f
after,train,images,dataset_clean/train/images/113_png.rf.8d93af44330dc324f375019d592da2a8.jpg,217835,b54c1a9d062175cfdc4ef601df53a90b043c894b197ff91fb0d691cc575a2b33
after,train,images,dataset_clean/train/images/114_png.rf.049988df379918e1214b54cd7f633245.jpg,208055,6cbe37f50b70c34638fbf97327c866674bf43296a3e257c5e0da711f616957b3
after,train,images,dataset_clean/train/images/114_png.rf.199df38cd9d5cbbc1b9e36edc805a90f.jpg,209763,103995bc40d0a94d3c6defd269033da1c0a3fc9c9c2a1be1d81a3b8d6d261235
after,train,images,dataset_clean/train/images/114_png.rf.f3f89ccb7c091b48b494b597ea387d85.jpg,208759,4329c0e189bc9c673d9f9163e2cbf72ace20094b6d7c98ee9ad14b03538bb4b4
after,train,images,dataset_clean/train/images/115_png.rf.2ccb64d2f96d13dff17b8e330c7c2ce7.jpg,202023,e232ae210d8adb70a344083c1be8ae5114c5fafd2da2da365ad6758d0b619692
after,train,images,dataset_clean/train/images/115_png.rf.be6c3783b03f79b01f1111b67f755fb0.jpg,202976,44273cdef06b490795a2abe8311efe16a354ca80911bcb02ce80672e3e12cfd5
after,train,images,dataset_clean/train/images/115_png.rf.f1019af88572dd99eb167258eb81795f.jpg,203394,bb86b41adfb8dfb302558669ba53a8fc4203a074289a63358600045caacdad71
after,train,images,dataset_clean/train/images/118_png.rf.504752b557345eede602f3fcb13ccdd5.jpg,249049,a9473129f29d7a31ebbeb17007abfe6a55d2bf63b17157262d5e75198cc30856
