split,image,boxes
train,100_png.rf.44205ffcbce3a23db90158d9e10637dd.jpg,1
train,100_png.rf.ae3e3cb957d9f9af0da92000b4923617.jpg,1
train,100_png.rf.d2b173f66f996a04e9722da879c91aa2.jpg,1
train,101_png.rf.0a98b15e94e04b78cbe1336cab819ca9.jpg,1
train,101_png.rf.c9494abd59f6581ee544d3437f740134.jpg,1
train,101_png.rf.f34163f5e9157739d94a958ac6aeb0d8.jpg,1
train,102_png.rf.2f06581cbd52f22fadc5113158c7d0da.jpg,1
train,102_png.rf.715503b50d19408be9d8513ad38327f9.jpg,1
train,102_png.rf.dc1315cb0db8542e93a8ab6f16e7f603.jpg,1
train,103_png.rf.0bf110810427204c70c71d887d2393e5.jpg,1
train,103_png.rf.4ee03846421f05e145684c3379e657f7.jpg,1
train,104_png.rf.09385316752ae2230e31961fd5a03f52.jpg,1
train,104_png.rf.9fe670b02ab3e4b9e796743b0877948b.jpg,1
train,104_png.rf.db7f446e416e2f8ae8a4ca8c97a4b5eb.jpg,1
train,105_png.rf.5b20251b7cd910e9b08c72ee9b5b7516.jpg,1
train,105_png.rf.6dcb31ab5f722a75fc988d65496ca4da.jpg,1
train,105_png.rf.7e557f4625ffc569df3a57bccf1b2d5f.jpg,1
train,106_png.rf.064fefba355be26be054010263ff3d07.jpg,1
train,106_png.rf.54cb386242cb995b1c81b56d29e7e38f.jpg,1
train,106_png.rf.601ddb4cc416d8acb244cd5b618e73e8.jpg,1
train,107_png.rf.1dfad04627cb742cc02dbd9967796b22.jpg,1
train,107_png.rf.28cd099155dfbe3dcc80922cb3b1f9eb.jpg,1
train,107_png.rf.733cd882fa039839f90209b7fa800f94.jpg,1
train,108_png.rf.18dabe4f3d8c2c88f30d1ec8607b3b0a.jpg,1
train,108_png.rf.a6633a716d10aa7b53c374e4ea1562e4.jpg,1
train,108_png.rf.ceaf41761f9fc0df4d5f5cac4ebcf161.jpg,1
train,109_png.rf.797b005c4b9680d0eaa926f15e5ca347.jpg,1
train,109_png.rf.86456aca4577f28a58ef012cd0b19bca.jpg,1
train,109_png.rf.941274b1250b96d78349d214e3607dff.jpg,1
train,10_jpg.rf.2a8a787a4fde422108bfb89599eedf78.jpg,1
train,10_jpg.rf.418f9a38a7ed5da52c7f2a424ebeafce.jpg,1
train,10_jpg.rf.5b10fd9f082969b3543cb4fb6cbec1ac.jpg,1
train,10_jpg.rf.90140f9edbc50433ae35048cb293b18d.jpg,1
train,10_jpg.rf.9082ca1f5897d6550a993f85b6b81571.jpg,1
train,10_jpg.rf.f88dbd823cc24195d3b0d5e4c32c32f6.jpg,1
train,10_png.rf.44e757574c6aa5d39c383ca15bf1b463.jpg,1
train,10_png.rf.481d60386b20fedcbf73c0e0bcba208f.jpg,1
train,110_png.rf.0fa6ea25e4d179c8cdc10115cf90d80d.jpg,1
train,110_png.rf.bcaaf316e0290f6ee66151ad4c18bec0.jpg,1
train,110_png.rf.e191757be1f27a31d7358e7a0c6bd2cb.jpg,1
train,111_png.rf.8300a321d6392852e399aaca38816b76.jpg,1
train,111_png.rf.cc7ab32e804a5031d4dd5cb6815d2d00.jpg,1
train,111_png.rf.ce66bf8c2ff53574ca326df3f5503a4b.jpg,1
train,112_png.rf.30121f1b784ac8f9773c42689d9f5138.jpg,1
train,112_png.rf.acc116372d9b07a8b74806a54832131c.jpg,1
train,112_png.rf.bdc26efbff34f838c02d3f22c3baa9bd.jpg,1
train,113_png.rf.65e538451949fae23e75f15ecc37bc9a.jpg,1
train,113_png.rf.8341595e2af6d93e41667ff21c612c6f.jpg,1
train,113_png.rf.8d93af44330dc324f375019d592da2a8.jpg,1
train,114_png.rf.049988df379918e1214b54cd7f633245.jpg,1
train,114_png.rf.199df38cd9d5cbbc1b9e36edc805a90f.jpg,1
train,114_png.rf.f3f89ccb7c091b48b494b597ea387d85.jpg,1
train,115_png.rf.2ccb64d2f96d13dff17b8e330c7c2ce7.jpg,1
train,115_png.rf.be6c3783b03f79b01f1111b67f755fb0.jpg,1
train,115_png.rf.f1019af88572dd99eb167258eb81795f.jpg,1
train,116_png.rf.64a25c0d2c3505bfd7408b868803848b.jpg,1
train,116_png.rf.8b86a2f2034a2bd92ce40f9936d21a42.jpg,1
train,116_png.rf.9ee41841685007d0705694cbedd87557.jpg,1
train,117_png.rf.29d5940cc82a3821e28f57eae8d1598d.jpg,1
train,117_png.rf.509b27d111a5f54044599220688190f8.jpg,1
train,117_png.rf.658e613e3f49478ed63c8e37200d30b7.jpg,1
train,118_png.rf.504752b557345eede602f3fcb13ccdd5.jpg,1
train,118_png.rf.920f4d82d394950660721d6c256bd8e2.jpg,1
train,118_png.rf.c4114e763b5f6945cc7b29ffcb9e83c4.jpg,1
